plan_id,seed,split_level,K,distance,solve_time,recovery_rate_d0.05,mean_absorbed_customer_frac_d0.05,mean_absorbed_workload_frac_d0.05,mean_full_absorption_delta_d0.05,recovery_rate_d0.1,mean_absorbed_customer_frac_d0.1,mean_absorbed_workload_frac_d0.1,mean_full_absorption_delta_d0.1,recovery_rate_d0.2,mean_absorbed_customer_frac_d0.2,mean_absorbed_workload_frac_d0.2,mean_full_absorption_delta_d0.2,recovery_rate_d0.4,mean_absorbed_customer_frac_d0.4,mean_absorbed_workload_frac_d0.4,mean_full_absorption_delta_d0.4
27,9,0,6,1227644.0,4.518482685089111,0.0,0.04842105263157895,0.024345431999606662,nan,0.0,0.08081756679279899,0.03518730413003094,nan,0.0,0.0998807476206857,0.040715741335486784,nan,0.0,0.10654741428735237,0.04546311254783978,nan
28,9,1,7,1237319.0,4.528515100479126,0.0,0.1336842105263158,0.09213526038582774,nan,0.0,0.17301194161875277,0.10538697783501008,nan,0.0,0.1871295886775763,0.11627077760899134,nan,0.0,0.20696152145068555,0.11949300607130742,nan
29,9,2,8,1254086.0,4.5262556076049805,0.25,0.3260500515995872,0.28080245729283543,2453.5,0.25,0.33299449604403164,0.2848508157666597,2453.5,0.25,0.3534623323013416,0.3003527802348387,2453.5,0.375,0.5073512211902306,0.44398496811064414,4215.666666666667
30,10,0,6,1224780.0,4.22460412979126,0.0,0.22985223074737138,0.15883167478770008,nan,0.0,0.2802358624609264,0.18089827481962126,nan,0.0,0.3335606706450696,0.20313143087649535,nan,0.0,0.4092548613648357,0.2628168390856696,nan
31,10,1,7,1237016.0,4.229189157485962,0.14285714285714285,0.3488958970315815,0.2890289621553189,36.0,0.14285714285714285,0.39960066406425276,0.3048097300665509,36.0,0.14285714285714285,0.445307642507804,0.33266797186888575,36.0,0.14285714285714285,0.5043060244692843,0.3815055746945807,36.0
32,10,2,8,1251196.0,4.234072923660278,0.25,0.319209348499125,0.2957578070567811,11413.0,0.375,0.48956286175797553,0.44059437001802826,13164.333333333334,0.375,0.5182006326558083,0.45958594010126114,13164.333333333334,0.375,0.5895610589773668,0.5125436255978673,13164.333333333334
33,11,0,6,1225701.0,8.017374038696289,0.0,0.05747520976353929,0.023806736656807076,nan,0.0,0.09418831605868894,0.03896863795867558,nan,0.0,0.11853995602817785,0.045632230976890675,nan,0.0,0.11853995602817785,0.045632230976890675,nan
34,11,1,7,1242427.0,8.029567003250122,0.0,0.07340815807635029,0.0218854151646309,nan,0.0,0.08134466601285821,0.025894547866049306,nan,0.14285714285714285,0.25338709091569506,0.1790439826535761,1560.0,0.14285714285714285,0.25338709091569506,0.18018148683557675,1560.0
35,11,2,8,1256381.0,8.024455785751343,0.25,0.3560084541062802,0.3230217817647186,17.0,0.25,0.40253800795680594,0.37294584359492416,17.0,0.25,0.4161409491332765,0.37713987079984396,17.0,0.25,0.435464620630861,0.3817354590351381,17.0
36,12,0,6,1228521.0,8.020008563995361,0.0,0.07522260111774179,0.02523165754328707,nan,0.0,0.08355593445107512,0.023422109492329576,nan,0.0,0.10261911527896184,0.029007391475127087,nan,0.0,0.10261911527896184,0.032186924157765355,nan
37,12,1,7,1238196.0,8.024430990219116,0.0,0.14351479722323712,0.08518803411527136,nan,0.0,0.17955791012056996,0.09845370305539515,nan,0.0,0.19636463280964558,0.11064479342238129,nan,0.0,0.21097917427840704,0.11206847532026053,nan
38,12,2,8,1252878.0,8.029546022415161,0.25,0.3130754475703324,0.2749207600229655,5705.5,0.25,0.3446131713554987,0.28596594345317344,5705.5,0.375,0.48431905370843986,0.4169798203953891,4144.666666666667,0.375,0.5022538363171356,0.4383214577173395,4144.666666666667
39,13,0,6,1226796.0,8.024560689926147,0.0,0.140359477124183,0.08599237261636401,nan,0.0,0.1570261437908497,0.08563670324661014,nan,0.0,0.17663398692810459,0.0940288122987852,nan,0.0,0.20032679738562095,0.10552175846840216,nan
40,13,1,7,1239032.0,8.032265901565552,0.14285714285714285,0.2710600029485478,0.21825708019379028,36.0,0.14285714285714285,0.2853457172342621,0.2528963162303869,36.0,0.14285714285714285,0.3021524399233378,0.27172643053433426,36.0,0.14285714285714285,0.34767064720625085,0.2799630800921472,36.0
41,13,2,8,1256454.0,8.036848068237305,0.25,0.3752877237851662,0.3226297109673335,740.5,0.25,0.38264066496163684,0.3517297666421923,740.5,0.25,0.3978061061381074,0.36312473578364035,740.5,0.25,0.43708839514066494,0.3794179949502388,740.5
42,14,0,6,1228634.0,8.017336130142212,0.0,0.12298245614035086,0.09201772877869734,nan,0.0,0.17286549707602336,0.10027189228926738,nan,0.0,0.1826694186446508,0.10683335948167048,nan,0.0,0.1826694186446508,0.11077230729487414,nan
