plan_a,seed_a,split_a,plan_b,seed_b,split_b,K,distance_a,distance_b,relative_cost_gap,delta_frac,recovery_rate_a,recovery_rate_b,abs_recovery_gap,absorbed_customer_frac_a,absorbed_customer_frac_b,abs_absorbed_customer_gap,absorbed_workload_frac_a,absorbed_workload_frac_b,abs_absorbed_workload_gap
1,0,1,7,2,1,7,1237003.0,1240870.0,0.003126103978729235,0.1,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.3215588378059774,0.3703926482873851,0.048833810481407725,0.25275679562758113,0.3237538889785262,0.07099709335094506
1,0,1,7,2,1,7,1237003.0,1240870.0,0.003126103978729235,0.2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.3410393572864968,0.3924468032827165,0.051407445996219714,0.2601465798703292,0.3425122720753117,0.08236569220498252
1,0,1,7,2,1,7,1237003.0,1240870.0,0.003126103978729235,0.4,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.40080735435426507,0.40925352597179226,0.008446171617527198,0.2980151459085999,0.3434429375010911,0.04542779159249122
1,0,1,10,3,1,7,1237003.0,1234746.0,0.0018279063062362623,0.05,0.14285714285714285,0.0,0.14285714285714285,0.2704703128044089,0.04856327247631594,0.22190704032809297,0.2106736376236337,0.015057184161695672,0.195616453461938
1,0,1,10,3,1,7,1237003.0,1234746.0,0.0018279063062362623,0.1,0.14285714285714285,0.0,0.14285714285714285,0.3215588378059774,0.06920446703055398,0.2523543707754234,0.25275679562758113,0.022057163670461948,0.23069963195711918
1,0,1,10,3,1,7,1237003.0,1234746.0,0.0018279063062362623,0.2,0.14285714285714285,0.0,0.14285714285714285,0.3410393572864968,0.06920446703055398,0.2718348902559428,0.2601465798703292,0.022617876398640872,0.2375287034716883
1,0,1,10,3,1,7,1237003.0,1234746.0,0.0018279063062362623,0.4,0.14285714285714285,0.0,0.14285714285714285,0.40080735435426507,0.09287596461509505,0.30793138973917,0.2980151459085999,0.034037600354366496,0.2639775455542334
1,0,1,16,5,1,7,1237003.0,1232474.0,0.003674722549928031,0.05,0.14285714285714285,0.14285714285714285,0.0,0.2704703128044089,0.18198757763975154,0.08848273516465738,0.2106736376236337,0.15879951354080887,0.051874124082824824
1,0,1,16,5,1,7,1237003.0,1232474.0,0.003674722549928031,0.1,0.14285714285714285,0.14285714285714285,0.0,0.3215588378059774,0.19613526570048312,0.12542357210549426,0.25275679562758113,0.16182703187299974,0.0909297637545814
1,0,1,16,5,1,7,1237003.0,1232474.0,0.003674722549928031,0.2,0.14285714285714285,0.14285714285714285,0.0,0.3410393572864968,0.20977162933684673,0.13126772794965008,0.2601465798703292,0.16242609387800783,0.09772048599232136
