plan_id,seed,split_level,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_cost,lost_workload,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
1,0,1,7,1237003.0,0.4,2,19,124192.0,207.40000000000003,0,1,4,0.21052631578947367,27.400000000000002,0.13211186113789777,,14,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85
1,0,1,7,1237003.0,0.4,3,15,285447.0,210.0,0,1,2,0.13333333333333333,22.8,0.10857142857142857,,4,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
1,0,1,7,1237003.0,0.4,4,22,204741.0,225.9,0,1,10,0.45454545454545453,73.3,0.32447985834440013,,75,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
1,0,1,7,1237003.0,0.4,5,23,393145.0,227.4,0,1,4,0.17391304347826086,18.0,0.07915567282321899,,15,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46 72
1,0,1,7,1237003.0,0.4,6,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,36.0,2,89
2,0,2,8,1255447.0,0.05,0,2,25905.0,31.7,0,1,1,0.5,10.0,0.31545741324921134,,1,88 18
2,0,2,8,1255447.0,0.05,1,18,191301.0,225.59999999999997,0,1,1,0.05555555555555555,5.8999999999999995,0.02615248226950355,,3,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
2,0,2,8,1255447.0,0.05,2,19,124192.0,207.40000000000003,0,1,3,0.15789473684210525,15.3,0.07377049180327867,,7,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85
2,0,2,8,1255447.0,0.05,3,15,285447.0,210.0,0,1,0,0.0,0.0,0.0,,0,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
2,0,2,8,1255447.0,0.05,4,22,204741.0,225.9,0,1,4,0.18181818181818182,19.4,0.0858787073926516,,13,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
2,0,2,8,1255447.0,0.05,5,22,393145.0,225.0,0,1,0,0.0,0.0,0.0,,0,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46
2,0,2,8,1255447.0,0.05,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,4,72
2,0,2,8,1255447.0,0.05,7,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,2,89
2,0,2,8,1255447.0,0.1,0,2,25905.0,31.7,0,1,1,0.5,10.0,0.31545741324921134,,1,88 18
2,0,2,8,1255447.0,0.1,1,18,191301.0,225.59999999999997,0,1,3,0.16666666666666666,19.599999999999998,0.08687943262411348,,6,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
2,0,2,8,1255447.0,0.1,2,19,124192.0,207.40000000000003,0,1,4,0.21052631578947367,14.900000000000002,0.07184185149469624,,10,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85
2,0,2,8,1255447.0,0.1,3,15,285447.0,210.0,0,1,1,0.06666666666666667,15.4,0.07333333333333333,,1,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
2,0,2,8,1255447.0,0.1,4,22,204741.0,225.9,0,1,6,0.2727272727272727,51.099999999999994,0.2262062859672421,,27,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
2,0,2,8,1255447.0,0.1,5,22,393145.0,225.0,0,1,1,0.045454545454545456,5.9,0.026222222222222223,,2,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46
2,0,2,8,1255447.0,0.1,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,4,72
2,0,2,8,1255447.0,0.1,7,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,2,89
2,0,2,8,1255447.0,0.2,0,2,25905.0,31.7,0,1,1,0.5,10.0,0.31545741324921134,,1,88 18
2,0,2,8,1255447.0,0.2,1,18,191301.0,225.59999999999997,0,1,3,0.16666666666666666,24.1,0.1068262411347518,,14,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
2,0,2,8,1255447.0,0.2,2,19,124192.0,207.40000000000003,0,1,4,0.21052631578947367,14.900000000000002,0.07184185149469624,,13,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85
2,0,2,8,1255447.0,0.2,3,15,285447.0,210.0,0,1,1,0.06666666666666667,15.4,0.07333333333333333,,2,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
2,0,2,8,1255447.0,0.2,4,22,204741.0,225.9,0,1,9,0.4090909090909091,54.6,0.24169986719787517,,47,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
2,0,2,8,1255447.0,0.2,5,22,393145.0,225.0,0,1,1,0.045454545454545456,5.9,0.026222222222222223,,2,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46
2,0,2,8,1255447.0,0.2,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,4,72
