plan_id,seed,generation,K,distance,solve_time,min_route_len,max_route_len,mean_route_len,std_route_len,route_len_signature,min_route_delivery,max_route_delivery,mean_route_delivery,std_route_delivery,route_delivery_signature,recovery_rate_d0.05,mean_absorbed_customer_frac_d0.05,mean_absorbed_workload_frac_d0.05,sub_len_n_d0.05,recovery_rate_sub_len_d0.05,mean_absorbed_customer_frac_sub_len_d0.05,mean_absorbed_workload_frac_sub_len_d0.05,sub_work_n_d0.05,recovery_rate_sub_work_d0.05,mean_absorbed_customer_frac_sub_work_d0.05,mean_absorbed_workload_frac_sub_work_d0.05,sub_either_n_d0.05,recovery_rate_sub_either_d0.05,mean_absorbed_customer_frac_sub_either_d0.05,mean_absorbed_workload_frac_sub_either_d0.05,recovery_rate_d0.1,mean_absorbed_customer_frac_d0.1,mean_absorbed_workload_frac_d0.1,sub_len_n_d0.1,recovery_rate_sub_len_d0.1,mean_absorbed_customer_frac_sub_len_d0.1,mean_absorbed_workload_frac_sub_len_d0.1,sub_work_n_d0.1,recovery_rate_sub_work_d0.1,mean_absorbed_customer_frac_sub_work_d0.1,mean_absorbed_workload_frac_sub_work_d0.1,sub_either_n_d0.1,recovery_rate_sub_either_d0.1,mean_absorbed_customer_frac_sub_either_d0.1,mean_absorbed_workload_frac_sub_either_d0.1,recovery_rate_d0.2,mean_absorbed_customer_frac_d0.2,mean_absorbed_workload_frac_d0.2,sub_len_n_d0.2,recovery_rate_sub_len_d0.2,mean_absorbed_customer_frac_sub_len_d0.2,mean_absorbed_workload_frac_sub_len_d0.2,sub_work_n_d0.2,recovery_rate_sub_work_d0.2,mean_absorbed_customer_frac_sub_work_d0.2,mean_absorbed_workload_frac_sub_work_d0.2,sub_either_n_d0.2,recovery_rate_sub_either_d0.2,mean_absorbed_customer_frac_sub_either_d0.2,mean_absorbed_workload_frac_sub_either_d0.2,recovery_rate_d0.4,mean_absorbed_customer_frac_d0.4,mean_absorbed_workload_frac_d0.4,sub_len_n_d0.4,recovery_rate_sub_len_d0.4,mean_absorbed_customer_frac_sub_len_d0.4,mean_absorbed_workload_frac_sub_len_d0.4,sub_work_n_d0.4,recovery_rate_sub_work_d0.4,mean_absorbed_customer_frac_sub_work_d0.4,mean_absorbed_workload_frac_sub_work_d0.4,sub_either_n_d0.4,recovery_rate_sub_either_d0.4,mean_absorbed_customer_frac_sub_either_d0.4,mean_absorbed_workload_frac_sub_either_d0.4
10,5,direct_fixed_k,7,1248490.0,14.328303575515747,5,25,14.285714285714286,6.755194524306794,5 6 13 14 16 21 25,35.8,144.79999999999998,107.57142857142857,45.060806989340655,35.800 39.300 122.700 124.600 142.600 143.200 144.800,0.14285714285714285,0.30556122448979595,0.2669763864855229,5.0,0.0,0.10778571428571429,0.06841577051117023,5.0,0.0,0.10778571428571429,0.06841577051117023,5.0,0.0,0.10778571428571429,0.06841577051117023,0.2857142857142857,0.42576530612244895,0.4039479396754655,5.0,0.0,0.1960714285714286,0.16552711554565167,5.0,0.0,0.1960714285714286,0.16552711554565167,5.0,0.0,0.1960714285714286,0.16552711554565167,0.2857142857142857,0.5266156462585034,0.4764159154682641,5.0,0.0,0.33726190476190476,0.2669822816555697,5.0,0.0,0.33726190476190476,0.2669822816555697,5.0,0.0,0.33726190476190476,0.2669822816555697,0.2857142857142857,0.6624228152799583,0.6232993709347887,5.0,0.0,0.5273919413919415,0.47261911930870404,5.0,0.0,0.5273919413919415,0.47261911930870404,5.0,0.0,0.5273919413919415,0.47261911930870404
11,5,direct_fixed_k,8,1264368.0,17.070453643798828,5,21,12.5,5.477225575051661,5 6 7 13 15 16 17 21,31.900000000000006,147.2,94.125,43.22541931549074,31.900 38.000 53.400 105.100 113.800 124.600 139.000 147.200,0.0,0.274452906162465,0.23861036755107876,5.0,0.0,0.12769607843137254,0.0894241825730955,6.0,0.0,0.24927054154995332,0.23466250089869467,6.0,0.0,0.24927054154995332,0.23466250089869467,0.375,0.517953431372549,0.507737064556183,5.0,0.0,0.2287254901960784,0.21237930328989257,6.0,0.16666666666666666,0.35727124183006537,0.3436494194082438,6.0,0.16666666666666666,0.35727124183006537,0.3436494194082438,0.375,0.6076461834733894,0.5854563868026953,5.0,0.0,0.3722338935574229,0.3367302188843124,6.0,0.16666666666666666,0.4768615779645191,0.4472751824035937,6.0,0.16666666666666666,0.4768615779645191,0.4472751824035937,0.375,0.7675107062055592,0.7354576101225517,5.0,0.0,0.6280171299288947,0.576732176196083,6.0,0.16666666666666666,0.6900142749407455,0.6472768134967358,6.0,0.16666666666666666,0.6900142749407455,0.6472768134967358
12,6,direct_fixed_k,7,1236966.0,14.005844593048096,5,23,14.285714285714286,5.229430062206608,5 10 14 15 16 17 23,33.8,147.29999999999998,107.57142857142856,40.44731014491796,33.800 61.800 111.000 117.400 138.300 143.400 147.300,0.14285714285714285,0.319435165370496,0.2739600093575434,6.0,0.0,0.20600769293224533,0.1529533442504673,6.0,0.0,0.20600769293224533,0.1529533442504673,6.0,0.0,0.20600769293224533,0.1529533442504673,0.14285714285714285,0.4351664578875028,0.3908575187256052,6.0,0.0,0.3410275342020866,0.2893337718465394,6.0,0.0,0.3410275342020866,0.2893337718465394,6.0,0.0,0.3410275342020866,0.2893337718465394,0.2857142857142857,0.5484604711449798,0.5117396519174608,6.0,0.16666666666666666,0.47320388300247634,0.4303629272370377,6.0,0.16666666666666666,0.47320388300247634,0.4303629272370377,6.0,0.16666666666666666,0.47320388300247634,0.4303629272370377,0.2857142857142857,0.7041049028306975,0.6498552014590968,6.0,0.16666666666666666,0.6547890533024804,0.591497735035613,6.0,0.16666666666666666,0.6547890533024804,0.591497735035613,6.0,0.16666666666666666,0.6547890533024804,0.591497735035613
13,6,direct_fixed_k,8,1273615.0,17.008389472961426,5,23,12.5,5.267826876426369,5 7 10 11 14 14 16 23,33.3,147.29999999999998,94.125,42.839402131682455,33.300 45.800 61.800 73.200 115.700 134.100 141.800 147.300,0.125,0.3147691981931112,0.28881167879263336,6.0,0.0,0.15778750235271974,0.13371611817159856,6.0,0.0,0.15778750235271974,0.13371611817159856,6.0,0.0,0.15778750235271974,0.13371611817159856,0.25,0.4824604743083004,0.471357516114907,6.0,0.16666666666666666,0.3575663466967815,0.3388592018144116,6.0,0.16666666666666666,0.3575663466967815,0.3388592018144116,6.0,0.16666666666666666,0.3575663466967815,0.3388592018144116,0.375,0.6192873023715415,0.593059496978379,6.0,0.16666666666666666,0.492383069828722,0.4574126626378386,6.0,0.16666666666666666,0.492383069828722,0.4574126626378386,6.0,0.16666666666666666,0.492383069828722,0.4574126626378386,0.5,0.7611121894409938,0.7360701598017646,6.0,0.3333333333333333,0.6814829192546584,0.6480935464023528,6.0,0.3333333333333333,0.6814829192546584,0.6480935464023528,6.0,0.3333333333333333,0.6814829192546584,0.6480935464023528
14,7,direct_fixed_k,7,1254971.0,12.188812017440796,5,23,14.285714285714286,5.443588252359328,5 10 13 14 16 19 23,34.2,147.29999999999998,107.57142857142856,43.222174014394646,34.200 61.800 84.800 138.300 141.800 144.800 147.300,0.14285714285714285,0.3068225089719042,0.25704302532630857,6.0,0.0,0.19129292713388824,0.13321686288069332,6.0,0.0,0.19129292713388824,0.13321686288069332,6.0,0.0,0.19129292713388824,0.13321686288069332,0.14285714285714285,0.4015727775003682,0.347156201055317,6.0,0.0,0.3018349070837629,0.23834890123120323,6.0,0.0,0.3018349070837629,0.23834890123120323,6.0,0.0,0.3018349070837629,0.23834890123120323,0.2857142857142857,0.5375286490234185,0.48923619717388167,6.0,0.16666666666666666,0.4604500905273216,0.40410889670286193,6.0,0.16666666666666666,0.4604500905273216,0.40410889670286193,6.0,0.16666666666666666,0.4604500905273216,0.40410889670286193,0.2857142857142857,0.6786307024129842,0.6110873884072682,6.0,0.16666666666666666,0.6250691528151483,0.5462686198084795,6.0,0.16666666666666666,0.6250691528151483,0.5462686198084795,6.0,0.16666666666666666,0.6250691528151483,0.5462686198084795
15,7,direct_fixed_k,8,1259973.0,18.722403526306152,6,23,12.5,5.5901699437494745,6 6 8 11 13 16 17 23,32.3,149.4,94.12500000000001,46.810355424841624,32.300 35.800 50.600 80.900 124.600 132.700 146.700 149.400,0.125,0.2772084253661939,0.27364625284286065,5.0,0.0,0.06853348058591024,0.0643263964797123,5.0,0.0,0.06853348058591024,0.0643263964797123,5.0,0.0,0.06853348058591024,0.0643263964797123,0.25,0.468054304231574,0.45906802972838523,5.0,0.0,0.1738868867705185,0.17189202513550975,5.0,0.0,0.1738868867705185,0.17189202513550975,5.0,0.0,0.1738868867705185,0.17189202513550975,0.375,0.5795708846779819,0.5671966871597768,5.0,0.0,0.32731341548477094,0.30751469945564275,5.0,0.0,0.32731341548477094,0.30751469945564275,5.0,0.0,0.32731341548477094,0.30751469945564275,0.375,0.6825458748412714,0.6617450946965574,5.0,0.0,0.49207339974603403,0.45879215151449165,5.0,0.0,0.49207339974603403,0.45879215151449165,5.0,0.0,0.49207339974603403,0.45879215151449165
16,8,direct_fixed_k,7,1239020.0,12.793586492538452,6,23,14.285714285714286,5.495824017620384,6 7 15 16 16 17 23,36.8,147.29999999999998,107.57142857142857,43.99995825600988,36.800 42.400 117.400 127.400 138.300 143.400 147.300,0.0,0.3041290429215164,0.26612951940625534,5.0,0.0,0.1543520886615516,0.1078725893046798,5.0,0.0,0.1543520886615516,0.1078725893046798,5.0,0.0,0.1543520886615516,0.1078725893046798,0.2857142857142857,0.4507276823772987,0.40906622727337083,5.0,0.0,0.23101875532821822,0.17269271818271922,5.0,0.0,0.23101875532821822,0.17269271818271922,5.0,0.0,0.23101875532821822,0.17269271818271922,0.2857142857142857,0.5459094507368164,0.4975592189587562,5.0,0.0,0.3642732310315431,0.2965829065422586,5.0,0.0,0.3642732310315431,0.2965829065422586,5.0,0.0,0.3642732310315431,0.2965829065422586,0.2857142857142857,0.6631485202776763,0.6112171867334701,5.0,0.0,0.5284079283887468,0.455704061426858,5.0,0.0,0.5284079283887468,0.455704061426858,5.0,0.0,0.5284079283887468,0.455704061426858
17,8,direct_fixed_k,8,1248724.0,15.704753875732422,5,23,12.5,6.164414002968976,5 6 7 11 13 15 20 23,35.8,147.29999999999998,94.12499999999999,46.02699615443093,35.800 39.300 40.900 88.900 124.600 132.800 143.400 147.300,0.125,0.33435794278185577,0.3256277493350766,5.0,0.0,0.0835441370223979,0.047486341712736996,5.0,0.0,0.0835441370223979,0.047486341712736996,5.0,0.0,0.0835441370223979,0.047486341712736996,0.375,0.5021574440052701,0.48653981379514566,5.0,0.0,0.20345191040843216,0.178463702072233,5.0,0.0,0.20345191040843216,0.178463702072233,5.0,0.0,0.20345191040843216,0.178463702072233,0.375,0.5865694993412385,0.5726924893167527,5.0,0.0,0.3385111989459816,0.31630798290680434,5.0,0.0,0.3385111989459816,0.31630798290680434,5.0,0.0,0.3385111989459816,0.31630798290680434,0.375,0.7349998733150908,0.7115496306575512,5.0,0.0,0.5759997973041451,0.5384794090520817,5.0,0.0,0.5759997973041451,0.5384794090520817,5.0,0.0,0.5759997973041451,0.5384794090520817
18,9,direct_fixed_k,7,1247055.0,12.572580814361572,6,25,14.285714285714286,6.385570468179146,6 6 12 15 18 18 25,39.00000000000001,149.9,107.57142857142857,46.33976121418576,39.000 43.400 89.200 134.300 147.800 149.400 149.900,0.0,0.1695238095238095,0.13247154038291487,5.0,0.0,0.07066666666666667,0.04048454292709241,5.0,0.0,0.07066666666666667,0.04048454292709241,5.0,0.0,0.07066666666666667,0.04048454292709241,0.0,0.23079365079365077,0.1894732566751293,5.0,0.0,0.1231111111111111,0.07994474641940644,5.0,0.0,0.1231111111111111,0.07994474641940644,5.0,0.0,0.1231111111111111,0.07994474641940644,0.14285714285714285,0.3696825396825397,0.3483044457082734,5.0,0.0,0.21755555555555556,0.18239746582164798,5.0,0.0,0.21755555555555556,0.18239746582164798,5.0,0.0,0.21755555555555556,0.18239746582164798,0.14285714285714285,0.566984126984127,0.5326727809092908,5.0,0.0,0.4271111111111111,0.36959810242333396,5.0,0.0,0.4271111111111111,0.36959810242333396,5.0,0.0,0.4271111111111111,0.36959810242333396
19,9,direct_fixed_k,8,1273033.0,11.807670831680298,7,25,12.5,5.70087712549569,7 7 7 11 14 14 15 25,45.800000000000004,149.9,94.125,40.860333760261916,45.800 48.700 53.600 73.200 111.200 128.800 141.800 149.900,0.125,0.2969588744588745,0.28923059670126805,5.0,0.0,0.13227705627705627,0.10049962890670756,7.0,0.14285714285714285,0.2781570810142239,0.26341420263126974,7.0,0.14285714285714285,0.2781570810142239,0.26341420263126974,0.25,0.4343939393939394,0.4416894583294871,5.0,0.0,0.18074458874458874,0.16681242294466575,7.0,0.2857142857142857,0.414817563388992,0.40486601638904685,7.0,0.2857142857142857,0.414817563388992,0.40486601638904685,0.375,0.6009199134199135,0.581061464335781,5.0,0.0,0.36147186147186144,0.3296983429372497,7.0,0.2857142857142857,0.543908472479901,0.5212131020980354,7.0,0.2857142857142857,0.543908472479901,0.5212131020980354,0.5,0.7797619047619048,0.743000143338576,5.0,0.2,0.6476190476190476,0.5888002293417217,7.0,0.42857142857142855,0.7482993197278912,0.7062858781012297,7.0,0.42857142857142855,0.7482993197278912,0.7062858781012297
20,10,direct_fixed_k,7,1249913.0,12.12467360496521,6,23,14.285714285714286,5.848425568702491,6 7 13 14 17 20 23,35.8,147.30000000000004,107.57142857142858,46.99603978105009,35.800 36.800 105.300 138.300 142.700 146.800 147.300,0.14285714285714285,0.33440499945797714,0.3010360875363176,5.0,0.0,0.1253098563840252,0.08811718921751129,5.0,0.0,0.1253098563840252,0.08811718921751129,5.0,0.0,0.1253098563840252,0.08811718921751129,0.2857142857142857,0.42609960372108713,0.3928143541846994,5.0,0.0,0.19653944520952193,0.14994009585857912,5.0,0.0,0.19653944520952193,0.14994009585857912,5.0,0.0,0.19653944520952193,0.14994009585857912,0.2857142857142857,0.5080703184283747,0.4474958245762248,5.0,0.0,0.31129844579972454,0.22649415440671467,5.0,0.0,0.31129844579972454,0.22649415440671467,5.0,0.0,0.31129844579972454,0.22649415440671467,0.2857142857142857,0.6210082026121485,0.5772111809886449,5.0,0.0,0.4694114836570079,0.40809565338410286,5.0,0.0,0.4694114836570079,0.40809565338410286,5.0,0.0,0.4694114836570079,0.40809565338410286
