plan_id,seed,K,distance,n_outage_pairs,n_d0.1,mean_extra_units_d0.1,p_need_two_d0.1,p_need_at_most_one_d0.1,p_zero_d0.1,mean_absorbed_workload_frac_d0.1,mean_residual_workload_frac_d0.1,both_sub_n_d0.1,both_sub_mean_extra_units_d0.1,both_sub_p_need_two_d0.1,both_sub_p_need_at_most_one_d0.1,both_sub_p_zero_d0.1,both_sub_mean_absorbed_workload_frac_d0.1,both_sub_mean_residual_workload_frac_d0.1
11,5,8,1264368.0,28,28.0,1.3571428571428572,0.35714285714285715,0.6428571428571429,0.0,0.3390813133661222,0.6609186866338781,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.22760497237536154,0.7723950276246384
12,6,7,1236966.0,21,21.0,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.22746755406477323,0.7725324459352267,15.0,1.8,0.8,0.2,0.0,0.1751055632306768,0.8248944367693232
13,6,8,1273615.0,28,28.0,1.3571428571428572,0.35714285714285715,0.6428571428571429,0.0,0.30953285443937123,0.6904671455606289,15.0,1.6,0.6,0.4,0.0,0.22406920238789318,0.7759307976121069
14,7,7,1254971.0,21,21.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.17872832112950668,0.8212716788704933,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.12952829000951072,0.8704717099904893
15,7,8,1259973.0,28,28.0,1.3928571428571428,0.39285714285714285,0.6071428571428571,0.0,0.2643279499228795,0.7356720500771206,10.0,2.0,1.0,0.0,0.0,0.11774423486818049,0.8822557651318196
16,8,7,1239020.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.22320932635225516,0.7767906736477447,10.0,2.0,1.0,0.0,0.0,0.133796767188334,0.8662032328116659
17,8,8,1248724.0,28,28.0,1.3214285714285714,0.35714285714285715,0.6428571428571429,0.03571428571428571,0.30448554121507826,0.6955144587849216,10.0,2.0,1.0,0.0,0.0,0.11458182022468208,0.8854181797753178
18,9,7,1247055.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.09544732351924654,0.9045526764807534,10.0,2.0,1.0,0.0,0.0,0.06290240449270992,0.9370975955072902
19,9,8,1273033.0,28,28.0,1.3928571428571428,0.39285714285714285,0.6071428571428571,0.0,0.2988763083987222,0.7011236916012776,21.0,1.4285714285714286,0.42857142857142855,0.5714285714285714,0.0,0.2685162181567588,0.7314837818432413
20,10,7,1249913.0,21,21.0,1.4761904761904763,0.47619047619047616,0.5238095238095238,0.0,0.20222517653022462,0.7977748234697754,10.0,2.0,1.0,0.0,0.0,0.09263457148136386,0.9073654285186361
