plan_a,seed_a,plan_b,seed_b,K,distance_a,distance_b,relative_cost_gap,route_len_profile_gap,route_delivery_profile_gap,exact_route_len_multiset_match,delta_frac,recovery_rate_a,recovery_rate_b,abs_recovery_rate_gap,mean_absorbed_customer_frac_a,mean_absorbed_customer_frac_b,abs_mean_absorbed_customer_frac_gap,mean_absorbed_workload_frac_a,mean_absorbed_workload_frac_b,abs_mean_absorbed_workload_frac_gap,recovery_rate_sub_len_a,recovery_rate_sub_len_b,abs_recovery_rate_sub_len_gap,mean_absorbed_customer_frac_sub_len_a,mean_absorbed_customer_frac_sub_len_b,abs_mean_absorbed_customer_frac_sub_len_gap,mean_absorbed_workload_frac_sub_len_a,mean_absorbed_workload_frac_sub_len_b,abs_mean_absorbed_workload_frac_sub_len_gap,recovery_rate_sub_work_a,recovery_rate_sub_work_b,abs_recovery_rate_sub_work_gap,mean_absorbed_customer_frac_sub_work_a,mean_absorbed_customer_frac_sub_work_b,abs_mean_absorbed_customer_frac_sub_work_gap,mean_absorbed_workload_frac_sub_work_a,mean_absorbed_workload_frac_sub_work_b,abs_mean_absorbed_workload_frac_sub_work_gap,recovery_rate_sub_either_a,recovery_rate_sub_either_b,abs_recovery_rate_sub_either_gap,mean_absorbed_customer_frac_sub_either_a,mean_absorbed_customer_frac_sub_either_b,abs_mean_absorbed_customer_frac_sub_either_gap,mean_absorbed_workload_frac_sub_either_a,mean_absorbed_workload_frac_sub_either_b,abs_mean_absorbed_workload_frac_sub_either_gap
0,0,6,3,7,1246180.0,1239200.0,0.0056326662362814715,0.12,0.024169986719787474,0,0.2,0.14285714285714285,0.14285714285714285,0.0,0.43900966183574885,0.5158601233135395,0.07685046147779062,0.4058094335996777,0.4798227662052489,0.07401333260557119,0.0,0.0,0.0,0.2896135265700483,0.43517014386579606,0.14555661729574776,0.24013320703954877,0.39312656057279033,0.15299335353324156,0.0,0.0,0.0,0.345511272141707,0.43517014386579606,0.08965887172408904,0.3067776725329573,0.39312656057279033,0.08634888803983304,0.0,0.0,0.0,0.345511272141707,0.43517014386579606,0.08965887172408904,0.3067776725329573,0.39312656057279033,0.08634888803983304
0,0,6,3,7,1246180.0,1239200.0,0.0056326662362814715,0.12,0.024169986719787474,0,0.4,0.2857142857142857,0.2857142857142857,0.0,0.6330474218672977,0.6497736218233114,0.016726199956013765,0.6006072510375002,0.6070536412370584,0.006446390199558172,0.0,0.16666666666666666,0.16666666666666666,0.4862663906142167,0.5914025587938632,0.10513616817964644,0.44085015145250034,0.5415625814432348,0.10071242999073443,0.16666666666666666,0.16666666666666666,0.0,0.5718886588451807,0.5914025587938632,0.019513899948682467,0.5340417928770836,0.5415625814432348,0.0075207885661511265,0.16666666666666666,0.16666666666666666,0.0,0.5718886588451807,0.5914025587938632,0.019513899948682467,0.5340417928770836,0.5415625814432348,0.0075207885661511265
0,0,8,4,7,1246180.0,1229294.0,0.013736339720197121,0.12,0.10252324037184599,0,0.05,0.0,0.14285714285714285,0.14285714285714285,0.21482796016957506,0.25063758705063055,0.03580962688105549,0.17898268618914176,0.21865805341471103,0.039675367225569275,0.0,0.0,0.0,0.13647342995169082,0.07089262187088274,0.06558080808080807,0.09806609882904965,0.0394546081139288,0.058611490715120854,0.0,0.0,0.0,0.15539452495974235,0.07089262187088274,0.0845019030888596,0.1138050823575414,0.0394546081139288,0.0743504742436126,0.0,0.0,0.0,0.15539452495974235,0.07089262187088274,0.0845019030888596,0.1138050823575414,0.0394546081139288,0.0743504742436126
0,0,8,4,7,1246180.0,1229294.0,0.013736339720197121,0.12,0.10252324037184599,0,0.1,0.0,0.2857142857142857,0.2857142857142857,0.3174110223799665,0.4072816676077546,0.08987064522778809,0.27384621605980325,0.37844034137333066,0.10459412531352741,0.0,0.0,0.0,0.1729468599033816,0.17019433465085637,0.0027525252525252286,0.12134082164636535,0.12981647792266288,0.008475656276297525,0.0,0.0,0.0,0.22745571658615135,0.17019433465085637,0.05726138193529498,0.17965901803863782,0.12981647792266288,0.04984254011597494,0.0,0.0,0.0,0.22745571658615135,0.17019433465085637,0.05726138193529498,0.17965901803863782,0.12981647792266288,0.04984254011597494
0,0,8,4,7,1246180.0,1229294.0,0.013736339720197121,0.12,0.10252324037184599,0,0.2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.43900966183574885,0.4916431394692264,0.05263347763347753,0.4058094335996777,0.467322792761038,0.061513359161360304,0.0,0.0,0.0,0.2896135265700483,0.288300395256917,0.0013131313131313216,0.24013320703954877,0.2542519098654533,0.01411870282590455,0.0,0.0,0.0,0.345511272141707,0.288300395256917,0.05721087688479004,0.3067776725329573,0.2542519098654533,0.05252576266750397,0.0,0.0,0.0,0.345511272141707,0.288300395256917,0.05721087688479004,0.3067776725329573,0.2542519098654533,0.05252576266750397
0,0,8,4,7,1246180.0,1229294.0,0.013736339720197121,0.12,0.10252324037184599,0,0.4,0.2857142857142857,0.2857142857142857,0.0,0.6330474218672977,0.6349368023281067,0.0018893804608089981,0.6006072510375002,0.5982466680577675,0.0023605829797327393,0.0,0.0,0.0,0.4862663906142167,0.48891152325934933,0.0026451326451326085,0.44085015145250034,0.4375453352808744,0.003304816171625924,0.16666666666666666,0.0,0.16666666666666666,0.5718886588451807,0.48891152325934933,0.08297713558583136,0.5340417928770836,0.4375453352808744,0.09649645759620923,0.16666666666666666,0.0,0.16666666666666666,0.5718886588451807,0.48891152325934933,0.08297713558583136,0.5340417928770836,0.4375453352808744,0.09649645759620923
0,0,10,5,7,1246180.0,1248490.0,0.0018536647996276621,0.12,0.10039840637450206,0,0.05,0.0,0.14285714285714285,0.14285714285714285,0.21482796016957506,0.30556122448979595,0.09073326432022089,0.17898268618914176,0.2669763864855229,0.08799370029638115,0.0,0.0,0.0,0.13647342995169082,0.10778571428571429,0.028687715665976526,0.09806609882904965,0.06841577051117023,0.02965032831787942,0.0,0.0,0.0,0.15539452495974235,0.10778571428571429,0.04760881067402806,0.1138050823575414,0.06841577051117023,0.04538931184637117,0.0,0.0,0.0,0.15539452495974235,0.10778571428571429,0.04760881067402806,0.1138050823575414,0.06841577051117023,0.04538931184637117
0,0,10,5,7,1246180.0,1248490.0,0.0018536647996276621,0.12,0.10039840637450206,0,0.1,0.0,0.2857142857142857,0.2857142857142857,0.3174110223799665,0.42576530612244895,0.10835428374248246,0.27384621605980325,0.4039479396754655,0.13010172361566225,0.0,0.0,0.0,0.1729468599033816,0.1960714285714286,0.02312456866804699,0.12134082164636535,0.16552711554565167,0.044186293899286314,0.0,0.0,0.0,0.22745571658615135,0.1960714285714286,0.03138428801472276,0.17965901803863782,0.16552711554565167,0.014131902492986154,0.0,0.0,0.0,0.22745571658615135,0.1960714285714286,0.03138428801472276,0.17965901803863782,0.16552711554565167,0.014131902492986154
0,0,10,5,7,1246180.0,1248490.0,0.0018536647996276621,0.12,0.10039840637450206,0,0.2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.43900966183574885,0.5266156462585034,0.08760598442275458,0.4058094335996777,0.4764159154682641,0.07060648186858642,0.0,0.0,0.0,0.2896135265700483,0.33726190476190476,0.047648378191856466,0.24013320703954877,0.2669822816555697,0.02684907461602093,0.0,0.0,0.0,0.345511272141707,0.33726190476190476,0.008249367379802253,0.3067776725329573,0.2669822816555697,0.03979539087738759,0.0,0.0,0.0,0.345511272141707,0.33726190476190476,0.008249367379802253,0.3067776725329573,0.2669822816555697,0.03979539087738759
0,0,10,5,7,1246180.0,1248490.0,0.0018536647996276621,0.12,0.10039840637450206,0,0.4,0.2857142857142857,0.2857142857142857,0.0,0.6330474218672977,0.6624228152799583,0.0293753934126606,0.6006072510375002,0.6232993709347887,0.022692119897288476,0.0,0.0,0.0,0.4862663906142167,0.5273919413919415,0.04112555077772473,0.44085015145250034,0.47261911930870404,0.0317689678562037,0.16666666666666666,0.0,0.16666666666666666,0.5718886588451807,0.5273919413919415,0.04449671745323924,0.5340417928770836,0.47261911930870404,0.061422673568379604,0.16666666666666666,0.0,0.16666666666666666,0.5718886588451807,0.5273919413919415,0.04449671745323924,0.5340417928770836,0.47261911930870404,0.061422673568379604
0,0,12,6,7,1246180.0,1236966.0,0.007448870866297053,0.1,0.07277556440903064,0,0.05,0.0,0.14285714285714285,0.14285714285714285,0.21482796016957506,0.319435165370496,0.10460720520092093,0.17898268618914176,0.2739600093575434,0.09497732316840163,0.0,0.0,0.0,0.13647342995169082,0.20600769293224533,0.06953426298055451,0.09806609882904965,0.1529533442504673,0.05488724542141765,0.0,0.0,0.0,0.15539452495974235,0.20600769293224533,0.05061316797250298,0.1138050823575414,0.1529533442504673,0.039148261892925904,0.0,0.0,0.0,0.15539452495974235,0.20600769293224533,0.05061316797250298,0.1138050823575414,0.1529533442504673,0.039148261892925904
0,0,12,6,7,1246180.0,1236966.0,0.007448870866297053,0.1,0.07277556440903064,0,0.1,0.0,0.14285714285714285,0.14285714285714285,0.3174110223799665,0.4351664578875028,0.11775543550753631,0.27384621605980325,0.3908575187256052,0.11701130266580195,0.0,0.0,0.0,0.1729468599033816,0.3410275342020866,0.168080674298705,0.12134082164636535,0.2893337718465394,0.16799295020017407,0.0,0.0,0.0,0.22745571658615135,0.3410275342020866,0.11357181761593524,0.17965901803863782,0.2893337718465394,0.10967475380790159,0.0,0.0,0.0,0.22745571658615135,0.3410275342020866,0.11357181761593524,0.17965901803863782,0.2893337718465394,0.10967475380790159
0,0,12,6,7,1246180.0,1236966.0,0.007448870866297053,0.1,0.07277556440903064,0,0.2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.43900966183574885,0.5484604711449798,0.1094508093092309,0.4058094335996777,0.5117396519174608,0.10593021831778315,0.0,0.16666666666666666,0.16666666666666666,0.2896135265700483,0.47320388300247634,0.18359035643242805,0.24013320703954877,0.4303629272370377,0.1902297201974889,0.0,0.16666666666666666,0.16666666666666666,0.345511272141707,0.47320388300247634,0.12769261086076933,0.3067776725329573,0.4303629272370377,0.12358525470408038,0.0,0.16666666666666666,0.16666666666666666,0.345511272141707,0.47320388300247634,0.12769261086076933,0.3067776725329573,0.4303629272370377,0.12358525470408038
0,0,12,6,7,1246180.0,1236966.0,0.007448870866297053,0.1,0.07277556440903064,0,0.4,0.2857142857142857,0.2857142857142857,0.0,0.6330474218672977,0.7041049028306975,0.07105748096339981,0.6006072510375002,0.6498552014590968,0.049247950421596576,0.0,0.16666666666666666,0.16666666666666666,0.4862663906142167,0.6547890533024804,0.16852266268826366,0.44085015145250034,0.591497735035613,0.15064758358311264,0.16666666666666666,0.16666666666666666,0.0,0.5718886588451807,0.6547890533024804,0.08290039445729969,0.5340417928770836,0.591497735035613,0.05745594215852934,0.16666666666666666,0.16666666666666666,0.0,0.5718886588451807,0.6547890533024804,0.08290039445729969,0.5340417928770836,0.591497735035613,0.05745594215852934
0,0,14,7,7,1246180.0,1254971.0,0.00705435811840986,0.08,0.03240371845949537,0,0.05,0.0,0.14285714285714285,0.14285714285714285,0.21482796016957506,0.3068225089719042,0.09199454880232916,0.17898268618914176,0.25704302532630857,0.07806033913716681,0.0,0.0,0.0,0.13647342995169082,0.19129292713388824,0.05481949718219742,0.09806609882904965,0.13321686288069332,0.03515076405164366,0.0,0.0,0.0,0.15539452495974235,0.19129292713388824,0.03589840217414589,0.1138050823575414,0.13321686288069332,0.019411780523151914,0.0,0.0,0.0,0.15539452495974235,0.19129292713388824,0.03589840217414589,0.1138050823575414,0.13321686288069332,0.019411780523151914
0,0,14,7,7,1246180.0,1254971.0,0.00705435811840986,0.08,0.03240371845949537,0,0.1,0.0,0.14285714285714285,0.14285714285714285,0.3174110223799665,0.4015727775003682,0.0841617551204017,0.27384621605980325,0.347156201055317,0.07330998499551378,0.0,0.0,0.0,0.1729468599033816,0.3018349070837629,0.12888804718038133,0.12134082164636535,0.23834890123120323,0.11700807958483787,0.0,0.0,0.0,0.22745571658615135,0.3018349070837629,0.07437919049761157,0.17965901803863782,0.23834890123120323,0.058689883192565406,0.0,0.0,0.0,0.22745571658615135,0.3018349070837629,0.07437919049761157,0.17965901803863782,0.23834890123120323,0.058689883192565406
0,0,14,7,7,1246180.0,1254971.0,0.00705435811840986,0.08,0.03240371845949537,0,0.2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.43900966183574885,0.5375286490234185,0.0985189871876696,0.4058094335996777,0.48923619717388167,0.08342676357420398,0.0,0.16666666666666666,0.16666666666666666,0.2896135265700483,0.4604500905273216,0.1708365639572733,0.24013320703954877,0.40410889670286193,0.16397568966331316,0.0,0.16666666666666666,0.16666666666666666,0.345511272141707,0.4604500905273216,0.1149388183856146,0.3067776725329573,0.40410889670286193,0.09733122416990464,0.0,0.16666666666666666,0.16666666666666666,0.345511272141707,0.4604500905273216,0.1149388183856146,0.3067776725329573,0.40410889670286193,0.09733122416990464
