plan_id,seed,K,distance,delta_frac,lost_a,lost_b,lost_a_len,lost_b_len,lost_a_workload,lost_b_workload,lost_a_substantive,lost_b_substantive,both_substantive,extra_units,need_two_units,need_at_most_one,fully_absorbed,total_customers,absorbed_customers,absorbed_customer_frac,total_delivery,total_pickup,total_workload,absorbed_workload,absorbed_workload_frac,residual_delivery_at_max_work,residual_pickup_at_max_work,residual_workload,residual_workload_frac,one_unit_capacity_feasible,terminal_dp_states,lost_route_a,lost_route_b
0,0,7,1246180.0,0.2,0,1,12,8,138.50000000000003,80.0,1,1,1,1,0,1,0,20,6,0.3,145.4,73.1,218.50000000000003,62.30000000000002,0.28512585812356983,107.6,48.6,156.20000000000002,0.7148741418764302,1,1,89 85 59 80 86 6 83 53 22 96 67 62,50 90 33 91 15 49 20 13
0,0,7,1246180.0,0.2,0,2,12,18,138.50000000000003,225.4,1,1,1,2,1,0,0,30,7,0.23333333333333334,238.6,125.3,363.90000000000003,77.20000000000002,0.21214619400934326,192.2,94.5,286.70000000000005,0.7878538059906568,0,32,89 85 59 80 86 6 83 53 22 96 67 62,63 73 57 79 39 23 11 70 19 5 4 28 58 94 38 31 78 93
0,0,7,1246180.0,0.2,0,3,12,14,138.50000000000003,194.6,1,1,1,2,1,0,0,26,5,0.19230769230769232,227.5,105.6,333.09999999999997,56.80000000000002,0.1705193635544882,193.3,83.0,276.29999999999995,0.8294806364455118,0,16,89 85 59 80 86 6 83 53 22 96 67 62,25 9 55 14 54 76 92 40 42 65 52 3 60 26
0,0,7,1246180.0,0.2,0,4,12,18,138.50000000000003,210.89999999999998,1,1,1,2,1,0,0,30,9,0.3,224.4,125.0,349.4,102.30000000000001,0.29278763594733836,160.4,86.7,247.09999999999997,0.7072123640526616,0,16,89 85 59 80 86 6 83 53 22 96 67 62,2 68 37 17 43 44 35 98 81 16 69 7 41 99 95 97 30 84
0,0,7,1246180.0,0.2,0,5,12,7,138.50000000000003,62.099999999999994,1,0,0,1,0,1,0,19,8,0.42105263157894735,126.6,74.0,200.59999999999997,84.60000000000001,0.42173479561316063,77.2,38.8,115.99999999999996,0.5782652043868394,1,1,89 85 59 80 86 6 83 53 22 96 67 62,61 21 36 45 27 88 18
0,0,7,1246180.0,0.2,0,6,12,23,138.50000000000003,227.40000000000003,1,1,1,2,1,0,0,35,7,0.2,236.5,129.4,365.9,76.00000000000003,0.20770702377698833,190.9,99.0,289.9,0.7922929762230118,0,16,89 85 59 80 86 6 83 53 22 96 67 62,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
0,0,7,1246180.0,0.2,1,2,8,18,80.0,225.4,1,1,1,2,1,0,0,26,5,0.19230769230769232,205.6,99.8,305.40000000000003,57.699999999999996,0.1889325474787164,167.8,79.9,247.70000000000005,0.8110674525212836,0,16,50 90 33 91 15 49 20 13,63 73 57 79 39 23 11 70 19 5 4 28 58 94 38 31 78 93
0,0,7,1246180.0,0.2,1,3,8,14,80.0,194.6,1,1,1,2,1,0,0,22,4,0.18181818181818182,194.5,80.1,274.6,37.7,0.13729060451565914,169.2,67.7,236.90000000000003,0.8627093954843409,0,8,50 90 33 91 15 49 20 13,25 9 55 14 54 76 92 40 42 65 52 3 60 26
0,0,7,1246180.0,0.2,1,4,8,18,80.0,210.89999999999998,1,1,1,1,0,1,0,26,8,0.3076923076923077,191.4,99.5,290.90000000000003,82.29999999999998,0.2829150910965967,137.8,70.8,208.60000000000005,0.7170849089034034,1,16,50 90 33 91 15 49 20 13,2 68 37 17 43 44 35 98 81 16 69 7 41 99 95 97 30 84
0,0,7,1246180.0,0.2,1,5,8,7,80.0,62.099999999999994,1,0,0,1,0,1,0,15,6,0.4,93.6,48.5,142.1,52.099999999999994,0.366643209007741,62.1,27.9,90.0,0.633356790992259,1,1,50 90 33 91 15 49 20 13,61 21 36 45 27 88 18
