Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate,mean_delay
Dethloff,CON3-0,demand_ramp,bonferroni,15,0.06666666666666667,0.9333333333333333,31.785714285714285
Dethloff,CON3-0,demand_ramp,periodic,15,0.06666666666666667,0.9333333333333333,28.928571428571427
Dethloff,CON3-0,demand_ramp,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,traffic_transient,tempo2,15,0.0,0.0,
Dethloff,CON3-0,traffic_transient,tempo_flat,15,0.0,0.0,
Dethloff,CON3-0,traffic_transient,cusum_cal,15,0.0,0.0,
Dethloff,CON3-0,traffic_transient,cusum_match,15,0.0,0.0,
Dethloff,CON3-0,traffic_transient,ph_match,15,0.0,0.0,
Dethloff,CON3-0,traffic_transient,esr_match,15,0.0,0.0,
Dethloff,CON3-0,traffic_transient,ecusum_match,15,0.0,0.0,
Dethloff,CON3-0,traffic_transient,bonferroni,15,0.2,0.0,
Dethloff,CON3-0,traffic_transient,periodic,15,1.0,0.0,
Dethloff,CON3-0,traffic_transient,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,traffic_late,tempo2,15,0.0,1.0,13.666666666666666
Dethloff,CON3-0,traffic_late,tempo_flat,15,0.0,0.9333333333333333,30.142857142857142
Dethloff,CON3-0,traffic_late,cusum_cal,15,0.0,1.0,31.0
Dethloff,CON3-0,traffic_late,cusum_match,15,0.0,1.0,43.666666666666664
Dethloff,CON3-0,traffic_late,ph_match,15,0.0,0.5333333333333333,63.625
Dethloff,CON3-0,traffic_late,esr_match,15,0.0,1.0,19.533333333333335
Dethloff,CON3-0,traffic_late,ecusum_match,15,0.0,1.0,18.266666666666666
Dethloff,CON3-0,traffic_late,bonferroni,15,0.0,1.0,20.666666666666668
Dethloff,CON3-0,traffic_late,periodic,15,0.0,1.0,34.0
Dethloff,CON3-0,traffic_late,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,demand_late,tempo2,15,0.0,0.8,43.333333333333336
Dethloff,CON3-0,demand_late,tempo_flat,15,0.0,0.0,
Dethloff,CON3-0,demand_late,cusum_cal,15,0.0,0.5333333333333333,63.125
Dethloff,CON3-0,demand_late,cusum_match,15,0.0,0.0,
Dethloff,CON3-0,demand_late,ph_match,15,0.0,0.0,
Dethloff,CON3-0,demand_late,esr_match,15,0.0,0.4666666666666667,55.285714285714285
Dethloff,CON3-0,demand_late,ecusum_match,15,0.0,0.3333333333333333,55.4
Dethloff,CON3-0,demand_late,bonferroni,15,0.0,0.9333333333333333,36.714285714285715
Dethloff,CON3-0,demand_late,periodic,15,0.0,1.0,31.0
Dethloff,CON3-0,demand_late,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,storm,tempo2,15,0.0,1.0,14.0
Dethloff,CON3-0,storm,tempo_flat,15,0.0,1.0,14.2
Dethloff,CON3-0,storm,cusum_cal,15,0.0,1.0,37.266666666666666
Dethloff,CON3-0,storm,cusum_match,15,0.0,1.0,51.46666666666667
Dethloff,CON3-0,storm,ph_match,15,0.0,1.0,27.333333333333332
Dethloff,CON3-0,storm,esr_match,15,0.0,1.0,12.666666666666666
Dethloff,CON3-0,storm,ecusum_match,15,0.0,1.0,12.4
Dethloff,CON3-0,storm,bonferroni,15,0.0,1.0,19.333333333333332
Dethloff,CON3-0,storm,periodic,15,0.0,1.0,34.0
Dethloff,CON3-0,storm,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,rush_crush,tempo2,15,0.0,1.0,17.533333333333335
Dethloff,CON3-0,rush_crush,tempo_flat,15,0.0,0.9333333333333333,30.785714285714285
Dethloff,CON3-0,rush_crush,cusum_cal,15,0.0,1.0,38.333333333333336
Dethloff,CON3-0,rush_crush,cusum_match,15,0.0,1.0,56.666666666666664
Dethloff,CON3-0,rush_crush,ph_match,15,0.0,0.7333333333333333,45.72727272727273
Dethloff,CON3-0,rush_crush,esr_match,15,0.0,1.0,19.6
Dethloff,CON3-0,rush_crush,ecusum_match,15,0.0,1.0,19.6
Dethloff,CON3-0,rush_crush,bonferroni,15,0.0,1.0,20.333333333333332
Dethloff,CON3-0,rush_crush,periodic,15,0.0,1.0,31.0
Dethloff,CON3-0,rush_crush,rolling_opt,15,1.0,0.0,
Dethloff,CON3-0,black_day,tempo2,15,0.0,1.0,6.6
Dethloff,CON3-0,black_day,tempo_flat,15,0.0,1.0,6.6
Dethloff,CON3-0,black_day,cusum_cal,15,0.0,1.0,22.2
Dethloff,CON3-0,black_day,cusum_match,15,0.0,1.0,34.2
Dethloff,CON3-0,black_day,ph_match,15,0.0,1.0,14.6
Dethloff,CON3-0,black_day,esr_match,15,0.0,1.0,5.733333333333333
Dethloff,CON3-0,black_day,ecusum_match,15,0.0,1.0,5.2
Dethloff,CON3-0,black_day,bonferroni,15,0.0,1.0,13.866666666666667
Dethloff,CON3-0,black_day,periodic,15,0.0,1.0,31.733333333333334
Dethloff,CON3-0,black_day,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,null,tempo2,15,0.0,,
Dethloff,CON3-1,null,tempo_flat,15,0.0,,
Dethloff,CON3-1,null,cusum_cal,15,0.06666666666666667,,
Dethloff,CON3-1,null,cusum_match,15,0.0,,
Dethloff,CON3-1,null,ph_match,15,0.0,,
Dethloff,CON3-1,null,esr_match,15,0.0,,
Dethloff,CON3-1,null,ecusum_match,15,0.0,,
Dethloff,CON3-1,null,bonferroni,15,0.06666666666666667,,
Dethloff,CON3-1,null,periodic,15,1.0,,
Dethloff,CON3-1,null,rolling_opt,15,1.0,,
Dethloff,CON3-1,null_rain,tempo2,15,0.0,,
Dethloff,CON3-1,null_rain,tempo_flat,15,0.0,,
Dethloff,CON3-1,null_rain,cusum_cal,15,0.06666666666666667,,
Dethloff,CON3-1,null_rain,cusum_match,15,0.0,,
Dethloff,CON3-1,null_rain,ph_match,15,0.0,,
Dethloff,CON3-1,null_rain,esr_match,15,0.06666666666666667,,
Dethloff,CON3-1,null_rain,ecusum_match,15,0.06666666666666667,,
Dethloff,CON3-1,null_rain,bonferroni,15,0.13333333333333333,,
Dethloff,CON3-1,null_rain,periodic,15,1.0,,
Dethloff,CON3-1,null_rain,rolling_opt,15,1.0,,
