Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,dp_n_rec,dp_n_TBC,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
SCA8-4,BSIM,50,12,1296.92,549.69,84.95,634.64,0.0,0.1141,58.26,607.95,0.1243,0.0321,31.42,50.7,64.75,614.44,0.1751,0.019,23.78,62.69,58.3,607.99,0.1159,0.0352,31.37,50.77,56.36,606.05,0.12,0.0325,33.65,47.2,56.6,606.29,0.1278,0.03,33.38,47.63,55.53,605.22,0.1237,0.0301,34.64,45.66,30.81,580.5,0.1141,0.0,63.74,59.4,0.8
SCA8-5,GNRS,50,11,1209.7,505.97,139.64,645.61,0.0,0.1994,90.66,596.63,0.1945,0.0569,35.07,42.69,100.46,606.43,0.2888,0.0316,28.06,54.16,90.1,596.07,0.1987,0.0546,35.48,42.04,87.18,593.16,0.211,0.0485,37.56,38.62,87.48,593.45,0.2208,0.0452,37.35,38.97,85.57,591.54,0.2154,0.045,38.72,36.73,54.18,560.15,0.1994,0.0,61.2,51.8,0.7
SCA8-5,BSIM,50,12,1258.31,545.83,97.29,643.12,0.0,0.1318,62.8,608.63,0.1265,0.0383,35.45,45.64,72.81,618.64,0.2123,0.0162,25.17,61.41,62.8,608.63,0.1265,0.0383,35.45,45.64,60.76,606.59,0.1366,0.034,37.55,42.43,61.1,606.93,0.142,0.0321,37.21,42.95,59.64,605.47,0.1437,0.03,38.7,40.66,33.84,579.67,0.1318,0.0,65.22,51.8,0.8
SCA8-6,GNRS,50,10,1140.59,464.06,143.57,607.63,0.0,0.2255,88.46,552.52,0.2288,0.0523,38.39,39.28,103.65,567.71,0.3585,0.0223,27.81,56.01,88.53,552.59,0.2296,0.052,38.33,39.36,85.12,549.18,0.2417,0.0447,40.71,35.6,86.02,550.08,0.2463,0.0445,40.08,36.59,84.7,548.76,0.244,0.0433,41.01,35.13,52.81,516.87,0.2255,0.0,63.21,77.2,0.8
SCA8-6,BSIM,50,11,1232.01,508.2,92.67,600.87,0.0,0.1362,61.31,569.51,0.1312,0.0401,33.84,46.1,69.2,577.4,0.2007,0.0217,25.33,59.66,61.3,569.5,0.131,0.0401,33.86,46.08,57.92,566.12,0.14,0.0342,37.5,40.27,59.55,567.75,0.1388,0.037,35.74,43.08,57.68,565.88,0.1463,0.0315,37.76,39.87,34.48,542.68,0.1362,0.0,62.79,77.2,0.7
SCA8-7,GNRS,50,11,1227.48,507.75,143.97,651.72,0.0,0.2055,90.4,598.15,0.2246,0.0456,37.21,37.7,102.36,610.11,0.3127,0.0265,28.9,51.61,91.02,598.77,0.2274,0.046,36.78,38.42,88.05,595.8,0.2309,0.0412,38.84,34.96,88.09,595.83,0.2302,0.0414,38.82,35.01,86.75,594.5,0.2168,0.0444,39.75,33.45,57.98,565.73,0.2055,0.0,59.73,65.8,0.9
SCA8-7,BSIM,50,12,1290.33,549.03,104.46,653.49,0.0,0.1417,66.48,615.51,0.1423,0.036,36.36,41.35,76.4,625.43,0.2139,0.0186,26.86,56.67,66.24,615.27,0.1438,0.0351,36.59,40.98,63.22,612.26,0.1442,0.0325,39.47,36.33,64.0,613.03,0.151,0.0311,38.73,37.52,61.82,610.85,0.1505,0.0285,40.82,34.16,39.7,588.73,0.1417,0.0,62.0,65.8,0.9
SCA8-8,GNRS,50,11,1244.66,509.47,87.89,597.36,0.0,0.1279,58.18,567.64,0.1336,0.0338,33.81,43.2,66.65,576.11,0.1805,0.0245,24.17,59.39,58.17,567.64,0.1339,0.0337,33.82,43.19,54.91,564.38,0.1253,0.035,37.53,36.96,56.06,565.52,0.127,0.0356,36.22,39.15,54.67,564.13,0.1304,0.0325,37.8,36.49,35.57,545.04,0.1279,0.0,59.52,52.1,0.8
SCA8-8,BSIM,50,12,1278.61,547.86,56.78,604.64,0.0,0.0755,37.64,585.5,0.0697,0.0245,33.7,43.1,40.76,588.62,0.1018,0.0159,28.21,52.37,37.57,585.43,0.0722,0.0235,33.83,42.87,37.11,584.97,0.075,0.0225,34.63,41.52,38.41,586.27,0.0714,0.0253,32.35,45.38,36.44,584.3,0.0772,0.0207,35.81,39.53,23.15,571.01,0.0755,0.0,59.22,52.1,0.7
SCA8-9,GNRS,50,11,1258.1,510.81,129.35,640.16,0.0,0.1896,84.46,595.27,0.1862,0.0521,34.7,40.66,94.11,604.92,0.266,0.0328,27.25,53.41,84.45,595.26,0.1848,0.0525,34.71,40.64,80.25,591.06,0.1961,0.0449,37.96,35.09,81.22,592.03,0.1946,0.0465,37.21,36.38,80.08,590.89,0.1936,0.0457,38.09,34.86,53.71,564.52,0.1896,0.0,58.48,43.9,0.9
SCA8-9,BSIM,50,12,1324.66,552.47,91.09,643.56,0.0,0.1193,62.31,614.77,0.1233,0.0359,31.6,49.83,68.34,620.8,0.171,0.0243,24.98,60.34,62.32,614.78,0.1199,0.0372,31.59,49.84,61.58,614.05,0.1264,0.0347,32.39,48.57,62.0,614.46,0.1332,0.0324,31.94,49.28,60.57,613.04,0.1272,0.033,33.51,46.8,33.72,586.19,0.1193,0.0,62.98,43.9,0.9
