Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-3,Det,50,4,607.67,200.77,154.32,355.09,0,0.0,0.3631,82.18,282.95,3,0.361,0.0358,46.75,21.11,106.53,307.3,3,0.5122,0.007,30.97,47.74,80.44,281.21,3,0.3619,0.0339,47.88,19.21,86.72,287.49,3,0.4195,0.0276,43.81,26.08,97.28,298.04,3,0.333,0.0934,36.96,37.62,86.27,287.04,3,0.3761,0.0407,44.1,25.59,97.96,298.73,3,0.472,0.0091,36.52,38.37,143.11,343.87,1,0.0725,0.3129,7.27,87.74,77.51,278.28,3,0.3704,0.0269,49.77,16.01,76.73,277.49,3,0.3585,0.0259,50.28,15.15,77.9,278.67,3,0.3778,0.0232,49.52,16.43,76.98,277.74,3,0.3726,0.0259,50.12,15.42,62.87,263.64,3,0.3591,0.004,59.26,0.0,1.4
CON3-3,SAA,50,5,713.82,246.38,18.73,265.11,0,0.0,0.0606,13.54,259.92,2,0.0533,0.0118,27.69,41.93,19.51,265.9,4,0.0898,0.0038,-4.2,108.81,13.54,259.92,2,0.0533,0.0118,27.69,41.93,14.6,260.98,2,0.0482,0.0216,22.06,53.75,13.54,259.93,2,0.0438,0.0211,27.68,41.97,12.36,258.74,2,0.0492,0.0132,33.99,28.74,15.1,261.48,3,0.0698,0.0057,19.38,59.37,7.04,253.42,3,0.0835,0.0094,62.42,-30.87,12.3,258.68,2,0.0522,0.0124,34.33,28.03,5.94,252.33,0,0.0,0.0088,68.26,-43.13,12.99,259.37,3,0.0571,0.011,30.63,35.78,11.93,258.31,2,0.0543,0.0097,36.29,23.9,9.8,256.18,3,0.0606,0.0,47.69,0.0,1.6
CON3-6,Det,50,4,515.59,191.56,138.91,330.47,0,0.0,0.282,89.49,281.05,3,0.2502,0.0726,35.58,28.78,98.3,289.86,3,0.3661,0.0382,29.23,41.49,88.37,279.93,3,0.2439,0.0731,36.39,27.17,92.72,284.28,3,0.3001,0.061,33.25,33.45,107.64,299.2,2,0.2121,0.1214,22.51,54.94,125.99,317.55,2,0.1396,0.203,9.3,81.38,95.03,286.59,3,0.3454,0.0409,31.59,36.77,133.02,324.58,1,0.0654,0.2446,4.24,91.51,85.8,277.36,3,0.2716,0.0561,38.23,23.48,84.6,276.16,2,0.2293,0.0612,39.1,21.74,85.85,277.41,3,0.2752,0.0546,38.2,23.54,85.18,276.74,3,0.2664,0.0574,38.68,22.58,69.51,261.07,3,0.2474,0.0346,49.96,0.0,1.4
CON3-6,SAA,50,5,562.39,231.24,8.04,239.28,0,0.0,0.0239,5.9,237.14,1,0.0261,0.0029,26.66,46.33,7.82,239.06,2,0.0365,0.0013,2.77,94.43,5.9,237.14,1,0.0261,0.0029,26.66,46.33,6.47,237.71,1,0.0155,0.011,19.49,60.76,6.13,237.37,1,0.0154,0.0102,23.8,52.09,6.88,238.12,0,0.009,0.0156,14.46,70.9,6.65,237.89,1,0.0303,0.0019,17.34,65.08,3.85,235.09,2,0.0488,0.0027,52.14,-4.97,5.15,236.39,1,0.0236,0.0033,35.96,27.61,2.6,233.84,0,0.0,0.0026,67.69,-36.29,6.12,237.36,1,0.0233,0.0054,23.89,51.9,5.1,236.34,1,0.0226,0.0037,36.55,26.41,4.05,235.29,1,0.0239,0.0,49.67,0.0,1.4
CON3-8,Det,50,4,523.05,192.3,126.63,318.94,0,0.0,0.255,68.79,261.09,2,0.261,0.0362,45.68,19.17,77.41,269.71,2,0.3314,0.0234,38.87,31.22,68.04,260.34,2,0.245,0.0416,46.27,18.12,74.08,266.38,2,0.284,0.0369,41.5,26.56,89.05,281.36,2,0.2092,0.0925,29.68,47.49,100.98,293.28,1,0.1369,0.1365,20.26,64.16,74.62,266.93,2,0.3113,0.0263,41.07,27.33,121.4,313.7,1,0.0614,0.2182,4.13,92.69,67.83,260.14,2,0.2414,0.0424,46.43,17.84,66.24,258.55,2,0.2226,0.0413,47.69,15.61,68.6,260.9,2,0.2539,0.0389,45.83,18.91,67.48,259.79,2,0.249,0.0387,46.71,17.35,55.07,247.37,2,0.2336,0.0214,56.51,0.0,1.4
CON3-8,SAA,50,5,624.76,237.48,13.7,251.17,0,0.0,0.0414,9.16,246.64,2,0.0389,0.0056,33.09,33.23,11.95,249.42,2,0.0551,0.0017,12.76,74.27,9.16,246.64,2,0.0389,0.0056,33.09,33.23,10.55,248.02,1,0.0315,0.0153,22.98,53.64,11.07,248.54,1,0.0241,0.0206,19.2,61.27,10.62,248.1,1,0.0225,0.0207,22.44,54.74,10.44,247.92,2,0.049,0.0019,23.77,52.04,5.25,242.72,2,0.0563,0.0048,61.69,-24.46,8.49,245.96,2,0.0376,0.0066,38.03,23.28,4.64,242.12,0,0.0,0.0052,66.09,-33.33,9.87,247.34,2,0.035,0.0112,27.95,43.61,8.22,245.7,2,0.0402,0.0043,39.98,19.34,6.91,244.38,2,0.0414,0.0,49.57,0.0,1.5
CON3-7,Det,50,4,586.71,198.67,137.49,336.16,0,0.0,0.3023,76.8,275.47,3,0.3023,0.0442,44.15,26.2,88.36,287.04,3,0.4177,0.0123,35.73,40.27,75.59,274.26,3,0.3031,0.041,45.02,24.74,84.01,282.68,3,0.3277,0.0457,38.9,34.97,93.88,292.55,3,0.2531,0.1024,31.72,46.98,108.32,306.99,1,0.1381,0.1793,21.22,64.53,83.9,282.58,3,0.3934,0.0146,38.97,34.85,136.9,335.58,1,0.016,0.2919,0.43,99.29,73.2,271.87,3,0.3207,0.0306,46.76,21.83,72.59,271.26,3,0.3136,0.0302,47.2,21.09,73.08,271.76,3,0.3199,0.03,46.84,21.69,72.57,271.24,3,0.3067,0.035,47.22,21.06,55.24,253.91,3,0.295,0.0073,59.82,0.0,1.4
CON3-7,SAA,50,5,635.3,238.53,7.98,246.51,0,0.0,0.0229,5.4,243.93,0,0.0194,0.0052,32.34,35.89,7.61,246.14,1,0.0349,0.0007,4.63,90.81,5.37,243.9,0,0.0193,0.0052,32.68,35.21,5.92,244.45,1,0.0176,0.0075,25.8,48.84,6.37,244.9,1,0.0124,0.0122,20.2,59.96,6.6,245.13,0,0.0072,0.0157,17.27,65.76,6.67,245.2,1,0.03,0.0016,16.38,67.52,3.0,241.53,1,0.0305,0.0022,62.42,-23.75,5.05,243.58,1,0.0189,0.0049,36.63,27.38,2.8,241.33,0,0.0,0.0032,64.86,-28.59,6.59,245.12,1,0.0188,0.0086,17.39,65.53,4.67,243.2,1,0.0227,0.0019,41.41,17.89,3.95,242.48,1,0.0229,0.0,50.44,0.0,1.5
CON3-9,Det,50,4,590.64,199.06,74.95,274.01,0,0.0,0.1986,45.24,244.3,3,0.2016,0.0267,39.64,31.52,56.82,255.89,3,0.2986,0.0036,24.19,58.22,45.18,244.25,3,0.2165,0.0191,39.71,31.4,58.2,257.26,3,0.2639,0.032,22.35,61.39,47.83,246.89,3,0.1894,0.0428,36.19,37.49,61.14,260.21,2,0.0955,0.1095,18.42,68.17,49.27,248.34,3,0.2576,0.0083,34.26,40.82,58.23,257.3,3,0.2126,0.0992,22.3,61.47,42.36,241.43,3,0.2104,0.0194,43.48,24.89,39.89,238.95,1,0.0834,0.0306,46.78,19.18,42.68,241.74,3,0.2083,0.0206,43.06,25.61,41.47,240.54,3,0.2036,0.0199,44.66,22.84,31.56,230.63,3,0.1986,0.0,57.89,0.0,1.4
CON3-9,SAA,50,5,653.43,240.34,8.22,248.56,0,0.0,0.0279,5.91,246.25,1,0.0265,0.0047,28.1,40.36,10.09,250.44,2,0.0533,0.0007,-22.86,148.52,5.91,246.25,1,0.0265,0.0047,28.1,40.36,6.47,246.81,1,0.0176,0.0122,21.24,54.92,6.05,246.4,1,0.0222,0.0085,26.32,44.14,6.22,246.56,1,0.0186,0.0107,24.31,48.41,7.36,247.7,2,0.0391,0.0013,10.47,77.78,3.12,243.46,2,0.0494,0.0025,62.02,-31.62,5.4,245.74,1,0.025,0.0047,34.29,27.23,2.26,242.6,0,0.0,0.0017,72.48,-53.82,6.12,246.46,1,0.0241,0.0075,25.52,45.85,5.29,245.64,1,0.0259,0.0039,35.56,24.52,4.34,244.69,1,0.0279,0.0,47.12,0.0,1.4
CON8-1,Det,50,9,740.93,389.09,300.23,689.32,0,0.0,0.4419,234.17,623.27,6,0.3055,0.2046,22.0,46.4,243.58,632.67,7,0.4153,0.1622,18.87,54.03,234.63,623.72,6,0.3088,0.2038,21.85,46.77,253.82,642.92,6,0.3559,0.2116,15.46,62.35,256.87,645.97,5,0.2194,0.2719,14.44,64.82,250.08,639.17,4,0.2169,0.269,16.7,59.31,238.49,627.59,7,0.3765,0.1748,20.56,49.91,282.7,671.79,3,0.1156,0.3856,5.84,85.78,234.35,623.45,6,0.3234,0.1961,21.94,46.55,228.67,617.77,5,0.258,0.2047,23.83,41.94,235.89,624.99,6,0.3441,0.188,21.43,47.8,231.89,620.98,6,0.3276,0.1909,22.76,44.55,176.99,566.08,7,0.3326,0.1094,41.05,0.0,1.3
CON8-1,SAA,50,14,963.63,586.36,24.7,611.07,0,0.0,0.0288,21.22,607.58,2,0.0188,0.0148,14.11,69.21,22.99,609.35,3,0.0291,0.0107,6.94,84.86,21.26,607.62,2,0.019,0.0147,13.95,69.55,22.12,608.48,1,0.0111,0.0195,10.47,77.15,21.74,608.1,1,0.0146,0.0176,12.0,73.81,21.7,608.06,1,0.0118,0.0191,12.16,73.45,22.02,608.38,2,0.0237,0.0128,10.85,76.31,15.13,601.5,4,0.0554,0.0095,38.74,15.44,21.01,607.37,2,0.0196,0.0141,14.96,67.35,12.53,598.89,0,0.0,0.0071,49.29,-7.58,22.19,608.55,2,0.0174,0.0169,10.18,77.79,20.39,606.76,2,0.0196,0.0134,17.44,61.93,13.38,599.75,3,0.0283,0.0006,45.82,0.0,1.3
CON8-0,Det,50,9,871.84,402.18,313.4,715.59,0,0.0,0.4493,240.51,642.69,7,0.344,0.1758,23.26,42.81,251.5,653.68,7,0.4359,0.1413,19.75,51.44,239.85,642.03,7,0.3518,0.1708,23.47,42.3,262.87,665.05,7,0.4316,0.1672,16.12,60.36,262.8,664.99,6,0.2867,0.233,16.15,60.3,270.15,672.33,4,0.1974,0.2882,13.8,66.07,245.64,647.83,7,0.4113,0.1469,21.62,46.84,301.87,704.05,2,0.0871,0.4082,3.68,90.95,238.38,640.56,7,0.3516,0.1704,23.94,41.14,233.45,635.64,6,0.3092,0.1737,25.51,37.28,241.19,643.37,7,0.3659,0.1666,23.04,43.35,238.08,640.27,7,0.3569,0.1667,24.03,40.91,185.94,588.12,8,0.3515,0.0978,40.67,0.0,1.4
CON8-0,SAA,50,15,1164.19,641.42,21.27,662.69,0,0.0,0.0228,19.85,661.27,1,0.0145,0.0132,6.7,85.64,20.49,661.91,2,0.0173,0.0122,3.68,92.12,19.85,661.27,1,0.0145,0.0132,6.7,85.64,19.46,660.87,1,0.0087,0.0159,8.54,81.71,19.76,661.18,1,0.0131,0.0141,7.1,84.8,19.5,660.92,1,0.0077,0.0166,8.33,82.15,20.03,661.45,2,0.0156,0.0128,5.84,87.5,14.42,655.84,3,0.0346,0.0101,32.21,30.99,19.43,660.84,1,0.0136,0.0134,8.68,81.4,13.63,655.05,0,0.0009,0.008,35.94,23.0,20.15,661.57,1,0.0123,0.0151,5.26,88.74,18.5,659.91,1,0.0134,0.0125,13.05,72.04,11.34,652.76,2,0.0228,0.0,46.67,0.0,1.2
