Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate
SalhiNagy,CMT12Y,dwell_mild,tilt,15,0.0,0.9333333333333333
SalhiNagy,CMT12Y,dwell_mild,tilt_adapt,15,0.0,1.0
SalhiNagy,CMT12Y,dwell_mild,tempo2,15,0.0,1.0
SalhiNagy,CMT12Y,rush_crush,flat,15,0.0,1.0
SalhiNagy,CMT12Y,rush_crush,tilt,15,0.0,1.0
SalhiNagy,CMT12Y,rush_crush,tilt_adapt,15,0.0,1.0
SalhiNagy,CMT12Y,rush_crush,tempo2,15,0.0,1.0
SalhiNagy,CMT1X,null,flat,15,0.0,
SalhiNagy,CMT1X,null,tilt,15,0.0,
SalhiNagy,CMT1X,null,tilt_adapt,15,0.0,
SalhiNagy,CMT1X,null,tempo2,15,0.0,
SalhiNagy,CMT1X,traffic_mild,flat,15,0.0,0.06666666666666667
SalhiNagy,CMT1X,traffic_mild,tilt,15,0.0,0.13333333333333333
SalhiNagy,CMT1X,traffic_mild,tilt_adapt,15,0.0,0.3333333333333333
SalhiNagy,CMT1X,traffic_mild,tempo2,15,0.0,0.4
SalhiNagy,CMT1X,traffic_late,flat,15,0.0,0.26666666666666666
SalhiNagy,CMT1X,traffic_late,tilt,15,0.0,0.3333333333333333
SalhiNagy,CMT1X,traffic_late,tilt_adapt,15,0.0,0.8
SalhiNagy,CMT1X,traffic_late,tempo2,15,0.0,0.8
SalhiNagy,CMT1X,demand_mild,flat,15,0.0,0.0
SalhiNagy,CMT1X,demand_mild,tilt,15,0.0,0.0
SalhiNagy,CMT1X,demand_mild,tilt_adapt,15,0.0,0.0
SalhiNagy,CMT1X,demand_mild,tempo2,15,0.0,0.0
SalhiNagy,CMT1X,demand_severe,flat,15,0.0,0.3333333333333333
SalhiNagy,CMT1X,demand_severe,tilt,15,0.0,0.13333333333333333
SalhiNagy,CMT1X,demand_severe,tilt_adapt,15,0.0,0.26666666666666666
SalhiNagy,CMT1X,demand_severe,tempo2,15,0.0,0.4666666666666667
SalhiNagy,CMT1X,demand_ramp,flat,15,0.0,0.0
SalhiNagy,CMT1X,demand_ramp,tilt,15,0.0,0.0
SalhiNagy,CMT1X,demand_ramp,tilt_adapt,15,0.0,0.06666666666666667
SalhiNagy,CMT1X,demand_ramp,tempo2,15,0.0,0.0
SalhiNagy,CMT1X,dwell_mild,flat,15,0.0,0.26666666666666666
SalhiNagy,CMT1X,dwell_mild,tilt,15,0.0,0.6
SalhiNagy,CMT1X,dwell_mild,tilt_adapt,15,0.0,0.9333333333333333
SalhiNagy,CMT1X,dwell_mild,tempo2,15,0.0,0.9333333333333333
SalhiNagy,CMT1X,rush_crush,flat,15,0.0,0.9333333333333333
SalhiNagy,CMT1X,rush_crush,tilt,15,0.0,1.0
SalhiNagy,CMT1X,rush_crush,tilt_adapt,15,0.0,1.0
