Route,Metro,n_stops,scenario,monitor,false_rate,detect_rate,mean_delay
RouteID_0034,DLA,142,traffic_mild,tempo2,0.08333333333333333,0.9166666666666666,88.63636363636364
RouteID_0034,DLA,142,traffic_mild,cusum_match,0.08333333333333333,0.9166666666666666,225.27272727272728
RouteID_0034,DLA,142,traffic_mild,ph_match,0.08333333333333333,0.3333333333333333,250.0
RouteID_0034,DLA,142,traffic_severe,tempo2,0.08333333333333333,0.9166666666666666,10.818181818181818
RouteID_0034,DLA,142,traffic_severe,cusum_match,0.08333333333333333,0.9166666666666666,52.72727272727273
RouteID_0034,DLA,142,traffic_severe,ph_match,0.08333333333333333,0.9166666666666666,90.63636363636364
RouteID_0034,DLA,142,demand_mild,tempo2,0.08333333333333333,0.8333333333333334,277.8
RouteID_0034,DLA,142,demand_mild,cusum_match,0.0,0.4166666666666667,367.8
RouteID_0034,DLA,142,demand_mild,ph_match,0.0,0.4166666666666667,370.8
RouteID_0034,DLA,142,demand_severe,tempo2,0.08333333333333333,0.9166666666666666,38.18181818181818
RouteID_0034,DLA,142,demand_severe,cusum_match,0.08333333333333333,0.9166666666666666,123.54545454545455
RouteID_0034,DLA,142,demand_severe,ph_match,0.08333333333333333,0.9166666666666666,347.45454545454544
RouteID_0034,DLA,142,dwell_mild,tempo2,0.0,1.0,43.0
RouteID_0034,DLA,142,dwell_mild,cusum_match,0.0,1.0,126.5
RouteID_0034,DLA,142,dwell_mild,ph_match,0.0,0.75,277.0
RouteID_0034,DLA,142,dwell_severe,tempo2,0.0,1.0,5.0
RouteID_0034,DLA,142,dwell_severe,cusum_match,0.0,1.0,32.916666666666664
RouteID_0034,DLA,142,dwell_severe,ph_match,0.0,1.0,55.0
RouteID_0034,DLA,142,accident_mild,tempo2,0.0,0.5,203.0
RouteID_0034,DLA,142,accident_mild,cusum_match,0.0,0.5833333333333334,245.71428571428572
RouteID_0034,DLA,142,accident_mild,ph_match,0.0,0.4166666666666667,219.0
RouteID_0034,DLA,142,accident_severe,tempo2,0.0,0.6666666666666666,307.75
RouteID_0034,DLA,142,accident_severe,cusum_match,0.0,0.6666666666666666,214.0
RouteID_0034,DLA,142,accident_severe,ph_match,0.0,0.4166666666666667,281.4
RouteID_0034,DLA,142,breakdown,tempo2,0.0,1.0,37.5
RouteID_0034,DLA,142,breakdown,cusum_match,0.08333333333333333,0.9166666666666666,39.54545454545455
RouteID_0034,DLA,142,breakdown,ph_match,0.0,1.0,37.5
RouteID_0034,DLA,142,traffic_ramp,tempo2,0.0,1.0,99.16666666666667
RouteID_0034,DLA,142,traffic_ramp,cusum_match,0.0,1.0,140.16666666666666
RouteID_0034,DLA,142,traffic_ramp,ph_match,0.0,1.0,180.16666666666666
RouteID_0034,DLA,142,demand_ramp,tempo2,0.0,1.0,161.16666666666666
RouteID_0034,DLA,142,demand_ramp,cusum_match,0.0,1.0,257.0
RouteID_0034,DLA,142,demand_ramp,ph_match,0.0,0.5,434.0
RouteID_0034,DLA,142,traffic_transient,tempo2,0.0,1.0,7.75
RouteID_0034,DLA,142,traffic_transient,cusum_match,0.0,1.0,45.0
RouteID_0034,DLA,142,traffic_transient,ph_match,0.0,0.9166666666666666,62.09090909090909
RouteID_0034,DLA,142,traffic_late,tempo2,0.0,1.0,26.666666666666668
RouteID_0034,DLA,142,traffic_late,cusum_match,0.0,1.0,69.58333333333333
RouteID_0034,DLA,142,traffic_late,ph_match,0.0,1.0,117.66666666666667
RouteID_0034,DLA,142,demand_late,tempo2,0.0,1.0,88.75
RouteID_0034,DLA,142,demand_late,cusum_match,0.0,1.0,174.58333333333334
RouteID_0034,DLA,142,demand_late,ph_match,0.0,0.4166666666666667,366.4
RouteID_0034,DLA,142,storm,tempo2,0.0,1.0,46.333333333333336
RouteID_0034,DLA,142,storm,cusum_match,0.0,1.0,113.08333333333333
RouteID_0034,DLA,142,storm,ph_match,0.0,1.0,91.08333333333333
RouteID_0034,DLA,142,rush_crush,tempo2,0.0,1.0,18.5
RouteID_0034,DLA,142,rush_crush,cusum_match,0.0,1.0,82.91666666666667
RouteID_0034,DLA,142,rush_crush,ph_match,0.0,1.0,100.91666666666667
RouteID_0034,DLA,142,black_day,tempo2,0.0,1.0,10.166666666666666
RouteID_0034,DLA,142,black_day,cusum_match,0.0,1.0,42.0
RouteID_0034,DLA,142,black_day,ph_match,0.0,1.0,29.166666666666668
RouteID_0085,DSE,171,null,tempo2,0.08333333333333333,,
RouteID_0085,DSE,171,null,cusum_match,0.0,,
RouteID_0085,DSE,171,null,ph_match,0.0,,
RouteID_0085,DSE,171,null_rain,tempo2,0.0,,
RouteID_0085,DSE,171,null_rain,cusum_match,0.0,,
RouteID_0085,DSE,171,null_rain,ph_match,0.0,,
RouteID_0085,DSE,171,traffic_mild,tempo2,0.0,1.0,87.5
