sweep,scenario,x,seed,none_cost,none_fail,none_ho,v1_myo_cost,v1_myo_fail,v1_myo_ho,v1_myo_saving,v1_myo_gap,v1_tun_cost,v1_tun_fail,v1_tun_ho,v1_tun_saving,v1_tun_gap,fb_tun_cost,fb_tun_fail,fb_tun_ho,fb_tun_saving,fb_tun_gap,v2_lsm_cost,v2_lsm_fail,v2_lsm_ho,v2_lsm_saving,v2_lsm_gap,oracle_cost,oracle_fail,oracle_ho,oracle_saving
cost_ratio,ctd,10.0,4,1.0158333333333334,0.10158333333333333,0.0,1.0158333333333334,0.10158333333333333,0.0,0.0,100.0,1.0158333333333334,0.10158333333333333,0.0,0.0,100.0,0.37533333333333335,0.01925,0.18283333333333332,63.051681706316664,29.94257588187039,0.32358333333333333,0.012333333333333333,0.20025,68.14602132895817,24.28219852337982,0.10158333333333333,0.0,0.10158333333333333,90.0
cost_ratio,ctd,20.0,0,2.03,0.1015,0.0,2.03,0.1015,0.0,0.0,100.0,2.03,0.1015,0.0,0.0,100.0,0.49441666666666667,0.0135,0.22441666666666665,75.64449917898193,20.374211390545334,0.4126666666666667,0.006083333333333333,0.291,79.67159277504105,16.13516549995679,0.1015,0.0,0.1015,95.0
cost_ratio,ctd,20.0,1,2.098333333333333,0.10491666666666667,0.0,2.098333333333333,0.10491666666666667,0.0,0.0,100.0,2.098333333333333,0.10491666666666667,0.0,0.0,100.0,0.47775,0.010583333333333333,0.26608333333333334,77.23193010325656,18.703231470256263,0.4101666666666667,0.00625,0.2851666666666667,80.4527402700556,15.312904978888845,0.10491666666666667,0.0,0.10491666666666667,95.0
cost_ratio,ctd,20.0,2,2.025,0.10125,0.0,2.025,0.10125,0.0,0.0,100.0,2.025,0.10125,0.0,0.0,100.0,0.48725,0.0105,0.27725,75.93827160493828,20.064977257959715,0.40041666666666664,0.004833333333333334,0.30375,80.22633744855966,15.55122373835824,0.10125,0.0,0.10125,94.99999999999999
cost_ratio,ctd,20.0,3,2.0483333333333333,0.10241666666666667,0.0,2.0483333333333333,0.10241666666666667,0.0,0.0,100.0,2.0483333333333333,0.10241666666666667,0.0,0.0,100.0,0.4555,0.008416666666666666,0.2871666666666667,77.76240846216436,18.144833197721727,0.37975,0.005166666666666667,0.27641666666666664,81.46053702196907,14.252066292664123,0.10241666666666667,0.0,0.10241666666666667,95.0
cost_ratio,ctd,20.0,4,2.0316666666666667,0.10158333333333333,0.0,2.0316666666666667,0.10158333333333333,0.0,0.0,100.0,2.0316666666666667,0.10158333333333333,0.0,0.0,100.0,0.5678333333333333,0.01925,0.18283333333333332,72.05086136177195,24.156988040240055,0.43091666666666667,0.00925,0.24591666666666667,78.78999179655456,17.063166529942578,0.10158333333333333,0.0,0.10158333333333333,95.0
cost_ratio,milk_run,2.0,0,0.20583333333333334,0.10291666666666667,0.0,0.17716666666666667,0.014833333333333334,0.1475,13.927125506072876,72.14574898785425,0.15058333333333335,0.03908333333333333,0.07241666666666667,26.84210526315789,46.31578947368422,0.15058333333333335,0.03908333333333333,0.07241666666666667,26.84210526315789,46.31578947368422,0.145,0.02525,0.0945,29.55465587044535,40.8906882591093,0.10291666666666667,0.0,0.10291666666666667,50.00000000000001
cost_ratio,milk_run,2.0,1,0.202,0.101,0.0,0.1725,0.011083333333333334,0.15033333333333335,14.603960396039618,70.79207920792076,0.15116666666666667,0.028,0.09516666666666666,25.165016501650165,49.669966996699664,0.15116666666666667,0.028,0.09516666666666666,25.165016501650165,49.669966996699664,0.14408333333333334,0.026083333333333333,0.09191666666666666,28.67161716171617,42.65676567656766,0.101,0.0,0.101,50.00000000000001
cost_ratio,milk_run,2.0,2,0.1995,0.09975,0.0,0.1645,0.01,0.1445,17.54385964912281,64.91228070175438,0.14425,0.023,0.09825,27.69423558897244,44.61152882205512,0.14425,0.023,0.09825,27.69423558897244,44.61152882205512,0.13716666666666666,0.018583333333333334,0.1,31.244778613199674,37.51044277360065,0.09975,0.0,0.09975,50.00000000000001
cost_ratio,milk_run,2.0,3,0.2025,0.10125,0.0,0.16975,0.012916666666666667,0.14391666666666666,16.17283950617284,67.65432098765432,0.14625,0.029916666666666668,0.08641666666666667,27.777777777777786,44.44444444444442,0.14625,0.029916666666666668,0.08641666666666667,27.777777777777786,44.44444444444442,0.14275,0.030416666666666668,0.08191666666666667,29.50617283950618,40.98765432098764,0.10125,0.0,0.10125,50.0
cost_ratio,milk_run,2.0,4,0.20383333333333334,0.10191666666666667,0.0,0.18075,0.011833333333333333,0.15708333333333332,11.324611610793136,77.35077677841373,0.14775,0.03375,0.08025,27.514309076042522,44.97138184791495,0.14775,0.03375,0.08025,27.514309076042522,44.97138184791495,0.14433333333333334,0.02475,0.09483333333333334,29.190515126737527,41.61896974652494,0.10191666666666667,0.0,0.10191666666666667,50.0
