instance,source,profile,policy,repetition,seed,N,dimension,alpha,capacity,iterations,direction,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,cert_gate_seconds,full_solver_seconds,cert_solver_seconds,gate_speedup,solver_speedup,solver_speedup_with_prep,prep_seconds,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,audit_checks,identity_pass
CON8-4,CON8-4.vrpspd,moderate,WDRO,2,772040,50000,10,0.9,279.74656,20,SLOPE,15171,0.7456331158130644,4823,6489,3859,3.030848329048843,5.153912069079164,12,910.5510000000002,1339.3571082352942,79.92413130006025,22.288458800143417,80.0988441999998,22.459458900000755,3.5858976170907777,3.5663746200046305,3.564501307234016,0.011803499999587075,0.10116945705803411,1.348818986250112,1.75016144659164,0.853557372223082,4.048491568854,1266,1
CON8-5,CON8-5.vrpspd,moderate,WDRO,0,802026,50000,10,0.9,246.24721,20,SLOPE,19631,0.7528398960827263,6778,8001,4852,3.079262391116092,4.780347409709133,11,973.2392000000001,1393.1982145882353,94.06422679999196,29.206765499886387,94.29188290000093,29.452838600000177,3.220631425289386,3.2014531495786067,3.200048816654022,0.012925299999551498,0.10029497404011149,1.3812001690869125,1.824215482969119,0.8425954086050516,4.064275943508129,1341,1
CON8-5,CON8-5.vrpspd,moderate,WDRO,1,812033,50000,10,0.9,246.24721,20,SLOPE,22403,0.734544480649913,8022,8434,5947,3.0201758693032184,4.750703030844083,12,952.1288999999998,1410.266006823529,107.99389580017669,32.71645780005019,108.2290950000006,32.95645510000031,3.3009042867718708,3.284002926637567,3.2827154677132193,0.012925299999551498,0.10029497404011149,1.3812001690869125,1.824215482969119,0.8425954086050516,4.064275943508129,1341,1
CON8-5,CON8-5.vrpspd,moderate,WDRO,2,822040,50000,10,0.9,246.24721,20,SLOPE,20099,0.7019752226478929,6487,7622,5990,3.024876859545251,4.78884521617991,12,942.0787999999999,1400.2159068235292,98.82453760011776,33.0244312999057,99.04391289999876,33.24963150000076,2.9924675069393234,2.97879731088137,2.977639797671772,0.012925299999551498,0.10029497404011149,1.3812001690869125,1.824215482969119,0.8425954086050516,4.064275943508129,1341,1
CON8-6,CON8-6.vrpspd,moderate,WDRO,0,852026,50000,10,0.9,233.99786,20,SLOPE,16624,0.763895572666025,5577,7122,3925,3.28897978825794,4.942192011549567,12,789.8275000000001,1165.0560223529412,86.54014120002284,25.48736609992011,86.7405893999985,25.691864300000816,3.3954132749830945,3.376188990691335,3.3745684484792164,0.012337800000750576,0.1000552307805023,1.3325290537367154,1.759501082382119,0.8603685592861631,4.053510597097206,1791,1
CON8-6,CON8-6.vrpspd,moderate,WDRO,1,862033,50000,10,0.9,233.99786,20,SLOPE,20068,0.7872732708790113,7262,8537,4269,3.270729519633247,4.800428542953957,12,792.1108000000002,1167.3393223529413,100.11631909999596,24.970304699849294,100.35818769999969,25.1943095000006,4.009415195506213,3.9833672639449516,3.9814175406022487,0.012337800000750576,0.1000552307805023,1.3325290537367154,1.759501082382119,0.8603685592861631,4.053510597097206,1791,1
CON8-6,CON8-6.vrpspd,moderate,WDRO,2,872040,50000,10,0.9,233.99786,20,SLOPE,24911,0.7935048773634138,8541,11226,5144,3.252940468066316,4.832242784312151,11,811.0974000000002,1155.0568788235296,122.5140874000881,30.118243699771483,122.82572809999874,30.418431600000986,4.067769974283649,4.037871830972205,4.036234723003479,0.012337800000750576,0.1000552307805023,1.3325290537367154,1.759501082382119,0.8603685592861631,4.053510597097206,1791,1
CON8-7,CON8-7.vrpspd,moderate,WDRO,0,902026,50000,10,0.9,264.24851,20,SLOPE,18579,0.7157005220948383,6858,6439,5282,3.0054362452231014,4.692825232789708,12,976.4095999999998,1472.1921609411763,92.32249350004713,30.981231500212743,92.52950539999983,31.191260200001125,2.9799491185304614,2.9665202626214024,2.9652258830651776,0.013615600000775885,0.10100447265936306,1.4590047367439547,1.9215603952159064,0.8150201629152629,4.050760223862704,986,1
CON8-7,CON8-7.vrpspd,moderate,WDRO,1,912033,50000,10,0.9,264.24851,20,SLOPE,13994,0.7145919679862799,4651,5349,3994,3.079319708446477,4.9021723595826785,12,974.3623999999999,1470.1449609411764,67.24146879996806,22.36301079988698,67.3873266999999,22.51831729999867,3.0068164524746326,2.9925560512465057,2.9907477089993266,0.013615600000775885,0.10100447265936306,1.4590047367439547,1.9215603952159064,0.8150201629152629,4.050760223862704,986,1
CON8-7,CON8-7.vrpspd,moderate,WDRO,2,922040,50000,10,0.9,264.24851,20,SLOPE,16903,0.7109980476838431,5555,6463,4885,2.949358102112051,4.905933857895048,11,972.375,1426.8423475294119,82.31408050000027,26.315585699878284,82.4857125999988,26.49099610000121,3.127959280054367,3.1137263502143293,3.1121268077280537,0.013615600000775885,0.10100447265936306,1.4590047367439547,1.9215603952159064,0.8150201629152629,4.050760223862704,986,1
CON8-8,CON8-8.vrpspd,moderate,WDRO,0,952026,50000,10,0.9,262.62416,20,SLOPE,15807,0.787815524767508,4879,7574,3354,3.1393686341494274,4.700955272980325,12,904.0121000000001,1336.9474647058826,76.81683149984747,17.31144139996286,76.96823119999863,17.44492690000152,4.437344628045373,4.412069574220568,4.408966831370795,0.01227660000040487,0.10087799994463717,1.2703806244848888,1.6532420659989058,0.8835173244111778,4.043137829749432,1696,1
